"No.","Time","Source","Destination","Protocol","Length","Info"
"1071","0.832993","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=1934281 Ack=1 Win=1005 Len=4344 TSval=867138222 TSecr=2681675404"
"1102","0.866898","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2009297 Ack=1 Win=1005 Len=2896 TSval=867138256 TSecr=2681675438"
"1140","0.902006","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2088657 Ack=1 Win=1005 Len=2896 TSval=867138291 TSecr=2681675470"
"1179","0.935714","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=2165121 Ack=1 Win=1005 Len=1448 TSval=867138325 TSecr=2681675505"
"1211","0.965935","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2243033 Ack=1 Win=1005 Len=2896 TSval=867138355 TSecr=2681675539"
"1233","0.999005","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=2319737 Ack=1 Win=1005 Len=1448 TSval=867138388 TSecr=2681675570"
"1307","1.033538","192.168.1.1","172.23.69.13","TCP","5376","80 → 50034 [PSH, ACK] Seq=2397649 Ack=1 Win=1005 Len=5304 TSval=867138422 TSecr=2681675602"
"1364","1.065545","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2472665 Ack=1 Win=1005 Len=2896 TSval=867138455 TSecr=2681675636"
"1415","1.098929","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2550577 Ack=1 Win=1005 Len=2896 TSval=867138488 TSecr=2681675671"
"1478","1.132196","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2628489 Ack=1 Win=1005 Len=2896 TSval=867138521 TSecr=2681675702"
"1530","1.165701","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2706401 Ack=1 Win=1005 Len=2896 TSval=867138555 TSecr=2681675736"
"1577","1.198987","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=2784313 Ack=1 Win=1005 Len=2896 TSval=867138588 TSecr=2681675772"
"1601","1.232398","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=2861017 Ack=1 Win=1005 Len=1448 TSval=867138621 TSecr=2681675802"
"1667","1.265691","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=2938929 Ack=1 Win=1005 Len=1448 TSval=867138655 TSecr=2681675836"
"1711","1.298966","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=3013945 Ack=1 Win=1005 Len=2896 TSval=867138688 TSecr=2681675869"
"1768","1.332820","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3091857 Ack=1 Win=1005 Len=8200 TSval=867138721 TSecr=2681675904"
"1825","1.365651","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=3169769 Ack=1 Win=1005 Len=4344 TSval=867138755 TSecr=2681675940"
"1893","1.399692","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3247681 Ack=1 Win=1005 Len=8200 TSval=867138788 TSecr=2681675969"
"1942","1.435339","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3325593 Ack=1 Win=1005 Len=8200 TSval=867138821 TSecr=2681676002"
"1963","1.468273","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3399401 Ack=1 Win=1005 Len=8200 TSval=867138855 TSecr=2681676036"
"2006","1.499285","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=3477313 Ack=1 Win=1005 Len=5792 TSval=867138888 TSecr=2681676069"
"2026","1.532954","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3555225 Ack=1 Win=1005 Len=8200 TSval=867138921 TSecr=2681676106"
"2072","1.565338","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=3633137 Ack=1 Win=1005 Len=2896 TSval=867138954 TSecr=2681676139"
"2113","1.600217","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3711049 Ack=1 Win=1005 Len=8200 TSval=867138988 TSecr=2681676177"
"2149","1.631946","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=3788961 Ack=1 Win=1005 Len=2896 TSval=867139021 TSecr=2681676203"
"2205","1.672313","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=3862769 Ack=1 Win=1005 Len=8200 TSval=867139054 TSecr=2681676236"
"2216","1.699064","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=3940681 Ack=1 Win=1005 Len=4344 TSval=867139088 TSecr=2681676269"
"2255","1.733053","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=4018593 Ack=1 Win=1005 Len=8200 TSval=867139121 TSecr=2681676306"
"2309","1.770423","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=4096505 Ack=1 Win=1005 Len=8200 TSval=867139155 TSecr=2681676336"
"2327","1.800416","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=4174417 Ack=1 Win=1005 Len=8200 TSval=867139188 TSecr=2681676370"
"2350","1.837144","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=4252329 Ack=1 Win=1005 Len=8200 TSval=867139221 TSecr=2681676408"
"2364","1.872786","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=4326137 Ack=1 Win=1005 Len=8200 TSval=867139255 TSecr=2681676437"
"2381","1.899098","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=4406945 Ack=1 Win=1005 Len=1448 TSval=867139288 TSecr=2681676475"
"2396","1.931770","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=4481961 Ack=1 Win=1005 Len=2896 TSval=867139321 TSecr=2681676503"
"2440","1.965120","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=4559873 Ack=1 Win=1005 Len=2896 TSval=867139354 TSecr=2681676535"
"2468","1.998521","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=4637785 Ack=1 Win=1005 Len=2896 TSval=867139388 TSecr=2681676572"
"2500","2.032186","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=4715697 Ack=1 Win=1005 Len=1448 TSval=867139421 TSecr=2681676603"
"2531","2.065544","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=4793609 Ack=1 Win=1005 Len=2896 TSval=867139455 TSecr=2681676636"
"2563","2.099097","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=4870313 Ack=1 Win=1005 Len=1448 TSval=867139488 TSecr=2681676676"
"2616","2.132085","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=4948225 Ack=1 Win=1005 Len=1448 TSval=867139521 TSecr=2681676704"
"2654","2.165672","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=5023241 Ack=1 Win=1005 Len=2896 TSval=867139555 TSecr=2681676735"
"2679","2.199844","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=5101153 Ack=1 Win=1005 Len=8200 TSval=867139588 TSecr=2681676769"
"2731","2.232232","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=5179065 Ack=1 Win=1005 Len=2896 TSval=867139621 TSecr=2681676802"
"2751","2.265365","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=5256977 Ack=1 Win=1005 Len=4344 TSval=867139654 TSecr=2681676838"
"2800","2.298872","192.168.1.1","172.23.69.13","TCP","1280","80 → 50034 [PSH, ACK] Seq=5333681 Ack=1 Win=1005 Len=1208 TSval=867139687 TSecr=2681676871"
"2827","2.333042","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=5411593 Ack=1 Win=1005 Len=1448 TSval=867139722 TSecr=2681676902"
"2863","2.366185","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=5489505 Ack=1 Win=1005 Len=1448 TSval=867139755 TSecr=2681676940"
"2890","2.398835","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=5564521 Ack=1 Win=1005 Len=2896 TSval=867139788 TSecr=2681676970"
"2936","2.432611","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=5642433 Ack=1 Win=1005 Len=5792 TSval=867139821 TSecr=2681677003"
"2968","2.465320","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=5720345 Ack=1 Win=1005 Len=2896 TSval=867139855 TSecr=2681677046"
"2988","2.499896","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=5798257 Ack=1 Win=1005 Len=8200 TSval=867139888 TSecr=2681677077"
"3026","2.532210","192.168.1.1","172.23.69.13","TCP","1280","80 → 50034 [PSH, ACK] Seq=5874961 Ack=1 Win=1005 Len=1208 TSval=867139920 TSecr=2681677102"
"3042","2.570140","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=5949977 Ack=1 Win=1005 Len=8200 TSval=867139955 TSecr=2681677140"
"3062","2.598814","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=6030785 Ack=1 Win=1005 Len=1448 TSval=867139988 TSecr=2681677175"
"3112","2.632884","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=6105801 Ack=1 Win=1005 Len=4344 TSval=867140022 TSecr=2681677202"
"3132","2.665620","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=6183713 Ack=1 Win=1005 Len=2896 TSval=867140055 TSecr=2681677244"
"3180","2.699221","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=6261625 Ack=1 Win=1005 Len=2896 TSval=867140088 TSecr=2681677269"
"3201","2.733229","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=6339537 Ack=1 Win=1005 Len=4344 TSval=867140122 TSecr=2681677303"
"3225","2.766018","192.168.1.1","172.23.69.13","TCP","5376","80 → 50034 [PSH, ACK] Seq=6416241 Ack=1 Win=1005 Len=5304 TSval=867140155 TSecr=2681677337"
"3262","2.799717","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=6491257 Ack=1 Win=1005 Len=8200 TSval=867140188 TSecr=2681677371"
"3293","2.832771","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=6569169 Ack=1 Win=1005 Len=2896 TSval=867140222 TSecr=2681677402"
"3327","2.865723","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=6647081 Ack=1 Win=1005 Len=2896 TSval=867140255 TSecr=2681677444"
"3372","2.898409","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=6724993 Ack=1 Win=1005 Len=1448 TSval=867140288 TSecr=2681677469"
"3402","2.932566","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=6802905 Ack=1 Win=1005 Len=2896 TSval=867140322 TSecr=2681677502"
"3445","2.967634","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=6880817 Ack=1 Win=1005 Len=8200 TSval=867140354 TSecr=2681677540"
"3461","2.999079","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=6957521 Ack=1 Win=1005 Len=4344 TSval=867140388 TSecr=2681677570"
"3483","3.032368","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=7035433 Ack=1 Win=1005 Len=1448 TSval=867140421 TSecr=2681677607"
"3504","3.065370","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=7111897 Ack=1 Win=1005 Len=1448 TSval=867140454 TSecr=2681677636"
"3533","3.098883","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=7188361 Ack=1 Win=1005 Len=2896 TSval=867140488 TSecr=2681677676"
"3579","3.132164","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=7266273 Ack=1 Win=1005 Len=2896 TSval=867140521 TSecr=2681677702"
"3607","3.170412","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=7344185 Ack=1 Win=1005 Len=8200 TSval=867140554 TSecr=2681677743"
"3624","3.204887","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=7422097 Ack=1 Win=1005 Len=8200 TSval=867140588 TSecr=2681677775"
"3640","3.232283","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=7498801 Ack=1 Win=1005 Len=1448 TSval=867140621 TSecr=2681677804"
"3692","3.265679","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=7576713 Ack=1 Win=1005 Len=1448 TSval=867140655 TSecr=2681677841"
"3721","3.298962","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=7651729 Ack=1 Win=1005 Len=2896 TSval=867140688 TSecr=2681677872"
"3754","3.332053","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=7729641 Ack=1 Win=1005 Len=2896 TSval=867140721 TSecr=2681677903"
"3787","3.365921","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=7809001 Ack=1 Win=1005 Len=4344 TSval=867140755 TSecr=2681677936"
"3807","3.398399","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=7885465 Ack=1 Win=1005 Len=1448 TSval=867140787 TSecr=2681677969"
"3835","3.431994","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=7963377 Ack=1 Win=1005 Len=2896 TSval=867140821 TSecr=2681678004"
"3885","3.465522","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=8040081 Ack=1 Win=1005 Len=1448 TSval=867140855 TSecr=2681678039"
"3906","3.499099","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=8117993 Ack=1 Win=1005 Len=1448 TSval=867140888 TSecr=2681678070"
"3938","3.532154","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=8194457 Ack=1 Win=1005 Len=1448 TSval=867140921 TSecr=2681678105"
"3958","3.565223","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=8270921 Ack=1 Win=1005 Len=2896 TSval=867140954 TSecr=2681678136"
"3988","3.604516","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=8348833 Ack=1 Win=1005 Len=8200 TSval=867140988 TSecr=2681678172"
"4003","3.631887","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=8426745 Ack=1 Win=1005 Len=2896 TSval=867141021 TSecr=2681678208"
"4022","3.665248","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=8504657 Ack=1 Win=1005 Len=1448 TSval=867141054 TSecr=2681678241"
"4054","3.700108","192.168.1.1","172.23.69.13","TCP","5376","80 → 50034 [PSH, ACK] Seq=8581361 Ack=1 Win=1005 Len=5304 TSval=867141088 TSecr=2681678269"
"4071","3.732487","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=8656377 Ack=1 Win=1005 Len=7240 TSval=867141121 TSecr=2681678307"
"4097","3.765489","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=8734289 Ack=1 Win=1005 Len=2896 TSval=867141155 TSecr=2681678336"
"4127","3.799117","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=8812201 Ack=1 Win=1005 Len=5792 TSval=867141188 TSecr=2681678369"
"4167","3.836348","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=8890113 Ack=1 Win=1005 Len=8200 TSval=867141221 TSecr=2681678410"
"4189","3.865178","192.168.1.1","172.23.69.13","TCP","4416","80 → 50034 [ACK] Seq=8968025 Ack=1 Win=1005 Len=4344 TSval=867141254 TSecr=2681678437"
"4207","3.902939","192.168.1.1","172.23.69.13","TCP","4176","80 → 50034 [PSH, ACK] Seq=9041833 Ack=1 Win=1005 Len=4104 TSval=867141287 TSecr=2681678471"
"4223","3.936335","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9119745 Ack=1 Win=1005 Len=8200 TSval=867141321 TSecr=2681678503"
"4245","3.966137","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9197657 Ack=1 Win=1005 Len=8200 TSval=867141355 TSecr=2681678539"
"4266","3.998464","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=9275569 Ack=1 Win=1005 Len=2896 TSval=867141388 TSecr=2681678572"
"4306","4.032353","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=9354929 Ack=1 Win=1005 Len=5792 TSval=867141421 TSecr=2681678602"
"4323","4.066350","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9431393 Ack=1 Win=1005 Len=8200 TSval=867141455 TSecr=2681678641"
"4336","4.104907","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9509305 Ack=1 Win=1005 Len=8200 TSval=867141488 TSecr=2681678684"
"4357","4.132206","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=9586009 Ack=1 Win=1005 Len=1448 TSval=867141521 TSecr=2681678703"
"4380","4.168405","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9661025 Ack=1 Win=1005 Len=8200 TSval=867141555 TSecr=2681678738"
"4400","4.200845","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9738937 Ack=1 Win=1005 Len=8200 TSval=867141588 TSecr=2681678769"
"4418","4.241373","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9816849 Ack=1 Win=1005 Len=8200 TSval=867141621 TSecr=2681678813"
"4433","4.265577","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=9894761 Ack=1 Win=1005 Len=8200 TSval=867141654 TSecr=2681678847"
"4449","4.298966","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=9972673 Ack=1 Win=1005 Len=2896 TSval=867141688 TSecr=2681678876"
"4463","4.338957","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10050585 Ack=1 Win=1005 Len=8200 TSval=867141721 TSecr=2681678903"
"4478","4.371822","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10124393 Ack=1 Win=1005 Len=8200 TSval=867141755 TSecr=2681678945"
"4493","4.400181","192.168.1.1","172.23.69.13","TCP","2968","80 → 50034 [ACK] Seq=10202305 Ack=1 Win=1005 Len=2896 TSval=867141788 TSecr=2681678990"
"4505","4.432868","192.168.1.1","172.23.69.13","TCP","7312","80 → 50034 [ACK] Seq=10280217 Ack=1 Win=1005 Len=7240 TSval=867141821 TSecr=2681679004"
"4524","4.466730","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10358129 Ack=1 Win=1005 Len=8200 TSval=867141854 TSecr=2681679049"
"4550","4.499585","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10436041 Ack=1 Win=1005 Len=8200 TSval=867141888 TSecr=2681679070"
"4569","4.535266","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10513953 Ack=1 Win=1005 Len=8200 TSval=867141921 TSecr=2681679106"
"4596","4.568634","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10587761 Ack=1 Win=1005 Len=8200 TSval=867141955 TSecr=2681679135"
"4607","4.601205","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10665673 Ack=1 Win=1005 Len=8200 TSval=867141988 TSecr=2681679171"
"4624","4.634057","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10743585 Ack=1 Win=1005 Len=8200 TSval=867142021 TSecr=2681679206"
"4635","4.668861","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10821497 Ack=1 Win=1005 Len=8200 TSval=867142055 TSecr=2681679240"
"4651","4.701292","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=10899409 Ack=1 Win=1005 Len=8200 TSval=867142088 TSecr=2681679281"
"4679","4.732354","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=10977321 Ack=1 Win=1005 Len=1448 TSval=867142121 TSecr=2681679308"
"4691","4.772648","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11055233 Ack=1 Win=1005 Len=8200 TSval=867142155 TSecr=2681679338"
"4704","4.802706","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11129041 Ack=1 Win=1005 Len=8200 TSval=867142189 TSecr=2681679384"
"4716","4.843618","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11206953 Ack=1 Win=1005 Len=8200 TSval=867142222 TSecr=2681679403"
"4729","4.867434","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11284865 Ack=1 Win=1005 Len=8200 TSval=867142256 TSecr=2681679441"
"4762","4.898912","192.168.1.1","172.23.69.13","TCP","1520","80 → 50034 [ACK] Seq=11364225 Ack=1 Win=1005 Len=1448 TSval=867142288 TSecr=2681679485"
"4782","4.934608","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11440689 Ack=1 Win=1005 Len=8200 TSval=867142322 TSecr=2681679508"
"4805","4.980608","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11518601 Ack=1 Win=1005 Len=8200 TSval=867142357 TSecr=2681679559"
"4815","5.006528","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11596513 Ack=1 Win=1005 Len=8200 TSval=867142389 TSecr=2681679579"
"4829","5.032513","192.168.1.1","172.23.69.13","TCP","5864","80 → 50034 [ACK] Seq=11670321 Ack=1 Win=1005 Len=5792 TSval=867142421 TSecr=2681679614"
"4846","5.068716","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11748233 Ack=1 Win=1005 Len=8200 TSval=867142455 TSecr=2681679651"
"4862","5.109949","192.168.1.1","172.23.69.13","TCP","8272","80 → 50034 [PSH, ACK] Seq=11826145 Ack=1 Win=1005 Len=8200 TSval=867142488 TSecr=2681679677"
